customer_id,invoice_id,date,time,quantity,total,payment,customer_type,product_line,branch_name,unit_price
0,750-67-8428,1/5/2019,13:08,7,548.9715,Ewallet,Member,Health and beauty,A,74.69
1,226-31-3081,3/8/2019,10:29,5,80.22,Cash,Normal,Electronic accessories,C,15.28
2,631-41-3108,3/3/2019,13:23,7,340.5255,Credit card,Normal,Home and lifestyle,A,46.33
3,123-19-1176,1/27/2019,20:33,8,489.048,Ewallet,Member,Health and beauty,A,58.22
4,373-73-7910,2/8/2019,10:37,7,634.3785,Ewallet,Normal,Sports and travel,A,86.31
5,699-14-3026,3/25/2019,18:30,7,627.6165,Ewallet,Normal,Electronic accessories,C,85.39
6,355-53-5943,2/25/2019,14:36,6,433.692,Ewallet,Member,Electronic accessories,A,68.84
7,315-22-5665,2/24/2019,11:38,10,772.38,Ewallet,Normal,Home and lifestyle,C,73.56
8,665-32-9167,1/10/2019,17:15,2,76.146,Credit card,Member,Health and beauty,A,36.26
9,692-92-5582,2/20/2019,13:27,3,172.746,Credit card,Member,Food and beverages,B,54.84
10,351-62-0822,2/6/2019,18:07,4,60.816,Ewallet,Member,Fashion accessories,B,14.48
11,529-56-3974,3/9/2019,17:03,4,107.142,Cash,Member,Electronic accessories,B,25.51
12,365-64-0515,2/12/2019,10:25,5,246.4875,Ewallet,Normal,Electronic accessories,A,46.95
13,252-56-2699,2/7/2019,16:48,10,453.495,Ewallet,Normal,Food and beverages,A,43.19
14,829-34-3910,3/29/2019,19:21,10,749.49,Cash,Normal,Health and beauty,A,71.38
15,299-46-1805,1/15/2019,16:19,6,590.436,Cash,Member,Sports and travel,B,93.72
16,656-95-9349,3/11/2019,11:03,7,506.6355,Credit card,Member,Health and beauty,A,68.93
17,765-26-6951,1/1/2019,10:39,6,457.443,Credit card,Normal,Sports and travel,A,72.61
18,329-62-1586,1/21/2019,18:00,3,172.2105,Credit card,Normal,Food and beverages,A,54.67
19,319-50-3348,3/11/2019,15:30,2,84.63,Ewallet,Normal,Home and lifestyle,B,40.3
20,300-71-4605,2/25/2019,11:24,5,451.71,Ewallet,Member,Electronic accessories,C,86.04
21,371-85-5789,3/5/2019,10:40,3,277.137,Ewallet,Normal,Health and beauty,B,87.98
22,273-16-6619,3/15/2019,12:20,2,69.72,Credit card,Normal,Home and lifestyle,B,33.2
23,636-48-8204,2/17/2019,11:15,5,181.44,Ewallet,Normal,Electronic accessories,A,34.56
24,549-59-1358,3/2/2019,17:36,3,279.1845,Ewallet,Member,Sports and travel,A,88.63
25,227-03-5010,3/22/2019,19:20,8,441.756,Credit card,Member,Home and lifestyle,A,52.59
26,649-29-6775,2/8/2019,15:31,1,35.196,Cash,Normal,Fashion accessories,B,33.52
27,189-17-4241,3/10/2019,12:17,2,184.107,Credit card,Normal,Fashion accessories,A,87.67
28,145-94-9061,1/25/2019,19:48,5,463.89,Cash,Normal,Food and beverages,B,88.36
29,848-62-7243,3/15/2019,15:36,9,235.2105,Cash,Normal,Health and beauty,A,24.89
30,871-79-8483,2/25/2019,19:39,5,494.1825,Credit card,Normal,Fashion accessories,B,94.13
31,149-71-6266,1/28/2019,12:43,9,737.7615,Cash,Member,Sports and travel,B,78.07
32,640-49-2076,1/10/2019,14:49,8,703.752,Cash,Normal,Sports and travel,B,83.78
33,595-11-5460,3/15/2019,10:12,2,202.818,Credit card,Normal,Health and beauty,A,96.58
34,183-56-6882,2/6/2019,10:42,4,417.564,Ewallet,Member,Food and beverages,C,99.42
35,232-16-2483,1/7/2019,12:28,1,71.526,Ewallet,Member,Sports and travel,C,68.12
36,129-29-8530,3/10/2019,19:15,5,328.755,Ewallet,Member,Sports and travel,A,62.62
37,272-65-1806,1/15/2019,17:17,9,575.316,Ewallet,Normal,Electronic accessories,A,60.88
38,333-73-7901,3/23/2019,13:24,8,461.328,Ewallet,Normal,Health and beauty,C,54.92
39,777-82-7220,3/3/2019,13:01,8,253.008,Cash,Member,Home and lifestyle,B,30.12
40,280-35-5823,1/17/2019,18:45,1,91.056,Ewallet,Member,Home and lifestyle,B,86.72
41,554-53-8700,2/2/2019,10:11,2,117.831,Cash,Member,Home and lifestyle,C,56.11
42,354-25-5821,2/8/2019,13:03,6,435.456,Cash,Member,Sports and travel,B,69.12
43,228-96-1411,3/4/2019,20:39,8,829.08,Cash,Member,Food and beverages,C,98.7
44,617-15-4209,3/16/2019,19:47,2,32.277,Cash,Member,Health and beauty,C,15.37
45,132-32-9879,3/9/2019,18:00,4,394.632,Cash,Member,Electronic accessories,B,93.96
46,370-41-7321,2/27/2019,17:24,9,535.7205,Credit card,Member,Health and beauty,B,56.69
47,727-46-3608,2/6/2019,15:47,9,189.0945,Ewallet,Member,Food and beverages,B,20.01
48,669-54-1719,2/10/2019,12:45,6,119.259,Credit card,Member,Electronic accessories,B,18.93
49,574-22-5561,3/19/2019,17:08,10,867.615,Ewallet,Member,Fashion accessories,C,82.63
50,326-78-5178,2/3/2019,10:19,7,671.79,Cash,Member,Food and beverages,C,91.4
51,162-48-8011,2/10/2019,15:10,5,234.0975,Cash,Member,Food and beverages,A,44.59
52,616-24-2851,3/22/2019,14:42,4,75.054,Ewallet,Member,Fashion accessories,B,17.87
53,778-71-5554,1/25/2019,15:46,1,16.2015,Credit card,Member,Fashion accessories,C,15.43
54,242-55-6721,3/7/2019,11:49,2,33.936,Ewallet,Normal,Home and lifestyle,B,16.16
55,399-46-5918,2/28/2019,19:01,8,722.232,Cash,Normal,Electronic accessories,C,85.98
56,106-35-6779,3/27/2019,11:26,2,93.114,Cash,Member,Home and lifestyle,A,44.34
57,635-40-6220,2/7/2019,11:28,8,752.64,Ewallet,Normal,Health and beauty,A,89.6
58,817-48-8732,1/20/2019,15:55,10,759.675,Cash,Member,Home and lifestyle,A,72.35
59,120-06-4233,3/12/2019,20:36,6,192.843,Cash,Normal,Electronic accessories,C,30.61
60,285-68-5083,2/15/2019,17:47,3,77.931,Credit card,Member,Sports and travel,C,24.74
61,803-83-5989,2/24/2019,10:55,6,351.099,Ewallet,Normal,Home and lifestyle,C,55.73
62,347-34-2234,2/3/2019,13:40,9,520.4115,Ewallet,Member,Sports and travel,B,55.07
63,199-75-8169,3/6/2019,12:27,10,166.005,Credit card,Member,Sports and travel,A,15.81
64,853-23-2453,2/14/2019,14:35,4,318.108,Cash,Member,Health and beauty,B,75.74
65,877-22-3308,3/13/2019,16:40,10,166.635,Cash,Member,Health and beauty,A,15.87
66,838-78-4295,2/10/2019,15:43,2,70.287,Ewallet,Normal,Health and beauty,C,33.47
67,109-28-2512,1/7/2019,15:01,6,614.943,Ewallet,Member,Fashion accessories,B,97.61
68,232-11-3025,1/24/2019,10:04,10,827.085,Cash,Normal,Sports and travel,A,78.77
69,382-03-4532,2/2/2019,18:50,1,19.2465,Cash,Member,Health and beauty,A,18.33
70,393-65-2792,1/6/2019,12:46,10,939.54,Credit card,Normal,Food and beverages,C,89.48
71,796-12-2025,2/11/2019,16:19,10,652.26,Cash,Normal,Fashion accessories,C,62.12
72,510-95-6347,3/5/2019,18:17,3,152.838,Ewallet,Member,Food and beverages,B,48.52
73,841-35-6630,3/9/2019,18:21,6,478.233,Cash,Normal,Electronic accessories,C,75.91
