invoice_details_id,gross_margin_percentage,gross_income,cogs,unit_price,tax_5%,rating,invoice_id,product_line
0,4.761904762,26.1415,522.83,74.69,26.1415,9.1,750-67-8428,Health and beauty
1,4.761904762,3.82,76.4,15.28,3.82,9.6,226-31-3081,Electronic accessories
2,4.761904762,16.2155,324.31,46.33,16.2155,7.4,631-41-3108,Home and lifestyle
3,4.761904762,23.288,465.76,58.22,23.288,8.4,123-19-1176,Health and beauty
4,4.761904762,30.2085,604.17,86.31,30.2085,5.3,373-73-7910,Sports and travel
5,4.761904762,29.8865,597.73,85.39,29.8865,4.1,699-14-3026,Electronic accessories
6,4.761904762,20.652,413.04,68.84,20.652,5.8,355-53-5943,Electronic accessories
7,4.761904762,36.78,735.6,73.56,36.78,8.0,315-22-5665,Home and lifestyle
8,4.761904762,3.626,72.52,36.26,3.626,7.2,665-32-9167,Health and beauty
9,4.761904762,8.226,164.52,54.84,8.226,5.9,692-92-5582,Food and beverages
10,4.761904762,2.896,57.92,14.48,2.896,4.5,351-62-0822,Fashion accessories
11,4.761904762,5.102,102.04,25.51,5.102,6.8,529-56-3974,Electronic accessories
12,4.761904762,11.7375,234.75,46.95,11.7375,7.1,365-64-0515,Electronic accessories
13,4.761904762,21.595,431.9,43.19,21.595,8.2,252-56-2699,Food and beverages
14,4.761904762,35.69,713.8,71.38,35.69,5.7,829-34-3910,Health and beauty
15,4.761904762,28.116,562.32,93.72,28.116,4.5,299-46-1805,Sports and travel
16,4.761904762,24.1255,482.51,68.93,24.1255,4.6,656-95-9349,Health and beauty
17,4.761904762,21.783,435.66,72.61,21.783,6.9,765-26-6951,Sports and travel
18,4.761904762,8.2005,164.01,54.67,8.2005,8.6,329-62-1586,Food and beverages
19,4.761904762,4.03,80.6,40.3,4.03,4.4,319-50-3348,Home and lifestyle
20,4.761904762,21.51,430.2,86.04,21.51,4.8,300-71-4605,Electronic accessories
21,4.761904762,13.197,263.94,87.98,13.197,5.1,371-85-5789,Health and beauty
22,4.761904762,3.32,66.4,33.2,3.32,4.4,273-16-6619,Home and lifestyle
23,4.761904762,8.64,172.8,34.56,8.64,9.9,636-48-8204,Electronic accessories
24,4.761904762,13.2945,265.89,88.63,13.2945,6.0,549-59-1358,Sports and travel
25,4.761904762,21.036,420.72,52.59,21.036,8.5,227-03-5010,Home and lifestyle
26,4.761904762,1.676,33.52,33.52,1.676,6.7,649-29-6775,Fashion accessories
27,4.761904762,8.767,175.34,87.67,8.767,7.7,189-17-4241,Fashion accessories
28,4.761904762,22.09,441.8,88.36,22.09,9.6,145-94-9061,Food and beverages
29,4.761904762,11.2005,224.01,24.89,11.2005,7.4,848-62-7243,Health and beauty
30,4.761904762,23.5325,470.65,94.13,23.5325,4.8,871-79-8483,Fashion accessories
31,4.761904762,35.1315,702.63,78.07,35.1315,4.5,149-71-6266,Sports and travel
32,4.761904762,33.512,670.24,83.78,33.512,5.1,640-49-2076,Sports and travel
33,4.761904762,9.658,193.16,96.58,9.658,5.1,595-11-5460,Health and beauty
34,4.761904762,19.884,397.68,99.42,19.884,7.5,183-56-6882,Food and beverages
35,4.761904762,3.406,68.12,68.12,3.406,6.8,232-16-2483,Sports and travel
36,4.761904762,15.655,313.1,62.62,15.655,7.0,129-29-8530,Sports and travel
37,4.761904762,27.396,547.92,60.88,27.396,4.7,272-65-1806,Electronic accessories
38,4.761904762,21.968,439.36,54.92,21.968,7.6,333-73-7901,Health and beauty
39,4.761904762,12.048,240.96,30.12,12.048,7.7,777-82-7220,Home and lifestyle
40,4.761904762,4.336,86.72,86.72,4.336,7.9,280-35-5823,Home and lifestyle
41,4.761904762,5.611,112.22,56.11,5.611,6.3,554-53-8700,Home and lifestyle
42,4.761904762,20.736,414.72,69.12,20.736,5.6,354-25-5821,Sports and travel
43,4.761904762,39.48,789.6,98.7,39.48,7.6,228-96-1411,Food and beverages
44,4.761904762,1.537,30.74,15.37,1.537,7.2,617-15-4209,Health and beauty
45,4.761904762,18.792,375.84,93.96,18.792,9.5,132-32-9879,Electronic accessories
46,4.761904762,25.5105,510.21,56.69,25.5105,8.4,370-41-7321,Health and beauty
47,4.761904762,9.0045,180.09,20.01,9.0045,4.1,727-46-3608,Food and beverages
48,4.761904762,5.679,113.58,18.93,5.679,8.1,669-54-1719,Electronic accessories
49,4.761904762,41.315,826.3,82.63,41.315,7.9,574-22-5561,Fashion accessories
50,4.761904762,31.99,639.8,91.4,31.99,9.5,326-78-5178,Food and beverages
51,4.761904762,11.1475,222.95,44.59,11.1475,8.5,162-48-8011,Food and beverages
52,4.761904762,3.574,71.48,17.87,3.574,6.5,616-24-2851,Fashion accessories
53,4.761904762,0.7715,15.43,15.43,0.7715,6.1,778-71-5554,Fashion accessories
54,4.761904762,1.616,32.32,16.16,1.616,6.5,242-55-6721,Home and lifestyle
55,4.761904762,34.392,687.84,85.98,34.392,8.2,399-46-5918,Electronic accessories
56,4.761904762,4.434,88.68,44.34,4.434,5.8,106-35-6779,Home and lifestyle
